room_number,building,capacity,features
1001,BIOL,30,"General Teaching Space, Tables - Any, Projector/Large Screen, BIOL, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SPPH, SPHA, RES, PHYS, PCTH, PATH, OSOT, NURS, NSCI, NAME, MTRL, MINE, MIDW, MICB, MECH, MANU, KIN, INDS, HUNU, HPB, GSAT, FSCT, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, ENVE, ENPH, EDUC, EDCP, ECPS, DSCI, DHYG, DES, DENT, COLX, CNPS, CIVL, CHEM, CAPS, BOTA, BIOL, BIOC, ATSC, APSC, APPP, ANAT, Rows"
1001,FSC,65,"NRES, ILS, General Teaching Space, Tables - Any, AC Power to 100% of Seats, FSC, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, Document Camera, Moveable Chairs, WOOD, VANT, URSY, UFOR, SOIL, PLNT, PHRM, PHAR, NAME, MTRL, MINE, MEDG, MECH, MANU, LWS, LING, LFS, LARC, IWME, IGEN, HPB, HGSE, GRS, GEM, GBPR, FRST, FRE, FOPR, FOPE, FCOR, ENVE, ELEC, EECE, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BMEG, BEST, ASL, AQUA, APSC, APPP, APBI, AANB, Rows, Room PC"
1001,ORCH,80,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Media Capture (Recording)/Live-Streaming, Learn Lab, ORCH, Projector/Large Screen, Whiteboard, Document Camera, Moveable Chairs, WOOD, VANT, URSY, UFOR, STAT, SOIL, PLNT, MTRL, MINE, LWS, LING, LFS, LARC, IGEN, HGSE, GRS, GEM, FRST, FRE, FOPR, FOPE, FCOR, EOSC, ENVR, ELEC, EECE, DSCI, CPSC, CPEN, CONS, COLX, BEST, ATSC, ASL, AQUA, APBI, AANB, Groups, Room PC"
1001,PCN,40,"ENST, PCN, General Teaching Space, Tables - Any, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, URST, SOWK, MATH, LLED, ISCI, INDS, GEOS, GEOG, FIPR, EPSE, EDUC, EDST, EDCP, ECPS, ECED, CNPS, ADHE, Rows, Room PC"
1002,FSC,32,"NRES, ILS, General Teaching Space, Tables - Any, FSC, Chalkboard, Projector/Large Screen, Document Camera, Tables - Moveable, Video Conferencing, Moveable Chairs, WOOD, VANT, URSY, UFOR, SOIL, PLNT, PHRM, PHAR, NAME, MTRL, MINE, MEDG, MECH, MANU, LWS, LING, LFS, LARC, IWME, IGEN, HPB, HGSE, GRS, GEM, GBPR, FRST, FRE, FOPR, FOPE, FCOR, ENVE, ELEC, EECE, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BMEG, BEST, ASL, AQUA, APSC, APPP, APBI, AANB, Rows"
1002,PCN,42,"ENST, PCN, General Teaching Space, Tables - Any, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, URST, SOWK, MATH, LLED, ISCI, INDS, GEOS, GEOG, FIPR, EPSE, EDUC, EDST, EDCP, ECPS, ECED, CNPS, ADHE, Groups, Room PC"
1002,SHRM,32,"General Teaching Space, Tables - Any, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, BMEG, Rows, Room PC, SHRM"
1003,FSC,65,"NRES, ILS, General Teaching Space, Tables - Any, AC Power to 100% of Seats, FSC, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, Document Camera, Moveable Chairs, WOOD, VANT, URSY, UFOR, SOIL, PLNT, PHRM, PHAR, NAME, MTRL, MINE, MEDG, MECH, MANU, LWS, LING, LFS, LARC, IWME, IGEN, HPB, HGSE, GRS, GEM, GBPR, FRST, FRE, FOPR, FOPE, FCOR, ENVE, ELEC, EECE, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BMEG, BEST, ASL, AQUA, APSC, APPP, APBI, AANB, Rows, Room PC"
1003,GWHB,144,"GWHB, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Document Cameras x 2, Projector/Large Screen, Whiteboard, Document Camera, Video Conferencing, Moveable Chairs, Groups, Room PC"
1003,PCN,36,"ENST, PCN, General Teaching Space, Tables - Any, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, Moveable Chairs, URST, SOWK, MATH, LLED, ISCI, INDS, GEOS, GEOG, FIPR, EPSE, EDUC, EDST, EDCP, ECPS, ECED, CNPS, ADHE, Groups, Room PC"
1003,SCRF,40,"General Teaching Space, Tables - Any, SCRF, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SOWK, RES, MTRL, MRNE, MINE, MICB, LLED, ISCI, INDS, HUNU, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, EDUC, EDST, EDCP, ECPS, ECED, DSCI, DES, COLX, CNPS, CHEM, CAPS, BOTA, BIOL, ATSC, ANAT, ADHE, Rows"
1004,GWHB,200,"GWHB, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Document Cameras x 2, Projector/Large Screen, Whiteboard, Document Camera, Video Conferencing, Moveable Chairs, Rows, Room PC"
1004,SCRF,40,"General Teaching Space, Tables - Any, SCRF, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SOWK, RES, MTRL, MRNE, MINE, MICB, LLED, ISCI, INDS, HUNU, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, EDUC, EDST, EDCP, ECPS, ECED, DSCI, DES, COLX, CNPS, CHEM, CAPS, BOTA, BIOL, ATSC, ANAT, ADHE, Rows"
1005,FSC,250,"NRES, ILS, General Teaching Space, Dual Content Capable, FSC, Media Capture (Recording)/Live-Streaming, Chalkboard, Document Cameras x 2, Projector/Large Screen, Document Camera, WOOD, VANT, URSY, UFOR, SOIL, PLNT, PHRM, PHAR, NAME, MTRL, MINE, MEDG, MECH, MANU, LWS, LING, LFS, LARC, IWME, IGEN, HPB, HGSE, GRS, GEM, GBPR, FRST, FRE, FOPR, FOPE, FCOR, ENVE, ELEC, EECE, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BMEG, BEST, ASL, AQUA, APSC, APPP, APBI, AANB, Rows, Room PC"
1005,SCRF,40,"General Teaching Space, Tables - Any, SCRF, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SOWK, RES, MTRL, MRNE, MINE, MICB, LLED, ISCI, INDS, HUNU, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, EDUC, EDST, EDCP, ECPS, ECED, DSCI, DES, COLX, CNPS, CHEM, CAPS, BOTA, BIOL, ATSC, ANAT, ADHE, Rows"
1008,PCN,24,"ENST, PCN, General Teaching Space, Media Capture (Recording)/Live-Streaming, Learn Lab, Projector/Large Screen, Whiteboard, Document Camera, URST, SOWK, MATH, LLED, ISCI, INDS, GEOS, GEOG, FIPR, EPSE, EDUC, EDST, EDCP, ECPS, ECED, CNPS, ADHE, Groups, Room PC, Moveable Chairs - Tablet Arms"
1009,PCN,24,"ENST, PCN, General Teaching Space, Tables - Any, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, URST, SOWK, MATH, LLED, ISCI, INDS, GEOS, GEOG, FIPR, EPSE, EDUC, EDST, EDCP, ECPS, ECED, CNPS, ADHE, Seminar"
