room_number,building,start_time,end_time,course_code,instructor,booking_type
105,ALRD,2025-12-02 09:00:00,2025-12-02 11:00:00,"LAW_V 559D-W/LEC/002, LAW_V 359C-W/LEC/002Aloni, ErezLEC3-16",Unknown,LEC
105,ALRD,2025-12-03 09:00:00,2025-12-03 10:30:00,"LAW_V 468-W/LEC/003, LAW_V 588-W/LEC/003Hilland, AndreaLEC3-16",Unknown,LEC
105,ALRD,2025-12-04 09:00:00,2025-12-04 11:00:00,"LAW_V 559D-W/LEC/002, LAW_V 359C-W/LEC/002Aloni, ErezLEC3-16",Unknown,LEC
105,ALRD,2025-12-05 09:00:00,2025-12-05 10:30:00,"LAW_V 468-W/LEC/003, LAW_V 588-W/LEC/003Hilland, AndreaLEC3-16",Unknown,LEC
105,ALRD,2025-12-01 09:30:00,2025-12-01 12:30:00,"LAW_V 468-W/LEC/004, LAW_V 588-W/LEC/004Goldbach, TobyLEC3-16",Unknown,LEC
105,ALRD,2025-12-03 10:30:00,2025-12-03 12:30:00,"LAW_V 476C-W/LEC/002, LAW_V 507-W/LEC/002Cunliffe, EmmaLEC3-16",Unknown,LEC
105,ALRD,2025-12-05 10:30:00,2025-12-05 12:30:00,"LAW_V 476C-W/LEC/002, LAW_V 507-W/LEC/002Cunliffe, EmmaLEC3-16",Unknown,LEC
105,ALRD,2025-12-02 11:00:00,2025-12-02 12:30:00,"LAW_V 300-W/LEC/003Stewart, JamesLEC3-16",Unknown,LEC
105,ALRD,2025-12-04 11:00:00,2025-12-04 12:30:00,"LAW_V 300-W/LEC/003Stewart, JamesLEC3-16",Unknown,LEC
105,ALRD,2025-12-01 12:30:00,2025-12-01 14:00:00,SOCI_V 384-W/LEC/101LEC3-16,Unknown,LEC
105,ALRD,2025-12-03 12:30:00,2025-12-03 14:00:00,SOCI_V 384-W/LEC/101LEC3-16,Unknown,LEC
105,ALRD,2025-12-05 13:30:00,2025-12-05 15:30:00,"LAW_V 459C-W/LEC/001, LAW_V 508D-W/LEC/001Hutchison, CamdenLEC3-16",Unknown,LEC
105,ALRD,2025-12-01 14:00:00,2025-12-01 17:00:00,"ASIA_V 328-W/LEC/011Ahmed, RumeeLEC3-16",Unknown,LEC
105,ALRD,2025-12-02 14:00:00,2025-12-02 15:30:00,"LAW_V 231-W/LEC/002Pavlich, DennisLEC3-16",Unknown,LEC
105,ALRD,2025-12-03 14:00:00,2025-12-03 16:00:00,"LAW_V 459C-W/LEC/001, LAW_V 508D-W/LEC/001Hutchison, CamdenLEC3-16",Unknown,LEC
105,ALRD,2025-12-04 14:00:00,2025-12-04 15:30:00,"LAW_V 231-W/LEC/002Pavlich, DennisLEC3-16",Unknown,LEC
105,ALRD,2025-12-02 15:30:00,2025-12-02 17:00:00,"SOCI_V 387-W/LEC/101Richardson, LindseyLEC3-16",Unknown,LEC
105,ALRD,2025-12-04 15:30:00,2025-12-04 17:00:00,"SOCI_V 387-W/LEC/101Richardson, LindseyLEC3-16",Unknown,LEC
105,ALRD,2025-12-01 18:00:00,2025-12-01 21:00:00,"LAW_V 540-W/LEC/001, LAW_V 440-W/LEC/001Gubeli, Aaron, Bank, JordanLEC3-16",Unknown,LEC
105,ALRD,2025-12-02 18:00:00,2025-12-02 21:00:00,"LAW_V 469-W/LEC/001, LAW_V 590-W/LEC/001Campbell, Jessica, Wells, NathanLEC3-16",Unknown,LEC
105,ALRD,2025-12-04 18:00:00,2025-12-04 21:00:00,"WRDS_V 150-W/LEC/R/3-HRKarpe, RohanLEC3-16",Unknown,LEC
112,ALRD,2025-12-01 09:30:00,2025-12-01 12:30:00,N/A,Unknown,OTHER
112,ALRD,2025-12-02 09:30:00,2025-12-02 12:30:00,N/A,Unknown,OTHER
112,ALRD,2025-12-03 09:30:00,2025-12-03 12:30:00,N/A,Unknown,OTHER
